,datetime,username,channel,message
69,2022-05-22T15:41:36.463547,hk710,#loltyler1,afk monkaW
70,2022-05-22T15:41:36.463685,jeantlg,#loltyler1,why is he inting?
71,2022-05-22T15:41:36.624775,kintza7614,#loltyler1,[[translation]] akali: why you come to this server to talk all this shit
72,2022-05-22T15:41:37.015719,yukistarcraft,#loltyler1,BigBrother 🚫 MANA 🚫  󠀀
73,2022-05-22T15:41:37.016118,corolarry,#loltyler1,BOP AYAYA VS BOP AYAYA
74,2022-05-22T15:41:37.520610,spaman42,#loltyler1,T1 LOSER
75,2022-05-22T15:41:37.942582,hessy_613,#loltyler1,@ut_frozt its the other way around actually
76,2022-05-22T15:41:38.269184,hiyooma,#loltyler1,Lillia is kinda hot ngl
77,2022-05-22T15:41:38.269412,jdn_1,#loltyler1,NA super Server Pog
78,2022-05-22T15:41:38.593344,jachighwind,#loltyler1,Sadge
79,2022-05-22T15:41:39.365939,noteimoo,#loltyler1,AYAYA ?
80,2022-05-22T15:41:39.527925,pojq,#loltyler1,He should change his in game name
81,2022-05-22T15:41:39.528171,kickith68,#loltyler1,FeelsStrongMan  NA FeelsStrongMan  NA
82,2022-05-22T15:41:39.528316,curlythanos,#loltyler1,BigBrother NA TIME
83,2022-05-22T15:41:39.852879,dophkin,#loltyler1,it'd be funny to make a video describing his hopefulness before korea vs now
84,2022-05-22T15:41:40.501321,kastore997,#loltyler1,CAN WIN
85,2022-05-22T15:41:40.501769,akademise,#loltyler1,POPPY BRO
86,2022-05-22T15:41:40.663757,frankice,#loltyler1,PRESS THE ATTACK Pog
87,2022-05-22T15:41:40.988835,valakino,#loltyler1,ratJAM
88,2022-05-22T15:41:41.522188,pexelie,#loltyler1,uwa AYAYA
89,2022-05-22T15:41:41.685196,pizzadawgdk,#loltyler1,BigBrother heal
90,2022-05-22T15:41:41.855586,spoopyghost31,#loltyler1,spectator pov
91,2022-05-22T15:41:42.289850,guts96,#loltyler1,Pog
92,2022-05-22T15:41:42.613874,forsennotlookingatyou____,#loltyler1,Pog ?
93,2022-05-22T15:41:43.486779,puffinsmoke,#loltyler1,PTA Pog
94,2022-05-22T15:41:43.487330,hwaririn,#loltyler1,this is so sad to watch lol
95,2022-05-22T15:41:43.648790,eternity_6,#loltyler1,only good player is poppy in this team so sad
96,2022-05-22T15:41:43.972984,ekkoo911,#loltyler1,this is so winnable
97,2022-05-22T15:41:44.296764,honeybearsss,#loltyler1,Poppy carry
98,2022-05-22T15:41:44.459038,gla7diator_,#loltyler1,!rank
99,2022-05-22T15:41:44.621140,jdel,#loltyler1,WINNABLE
100,2022-05-22T15:41:44.784960,kratosjv96,#loltyler1,poppy Pog
101,2022-05-22T15:41:44.946926,sashingrimreaper,#loltyler1,NA silver > KR Master? Pog
102,2022-05-22T15:41:45.109971,naikron,#loltyler1,Pog
103,2022-05-22T15:41:45.110556,fossabot,#loltyler1,"@Gla7diator_, ACCOUNTS: BIG TONKA T is currently Master I 113 LP"
104,2022-05-22T15:41:45.272504,feud_,#loltyler1,KR MASTER = NA SILVER
105,2022-05-22T15:41:45.597179,joonki07,#loltyler1,can win
106,2022-05-22T15:41:46.084555,strangephysic,#loltyler1,Ggiachad
107,2022-05-22T15:41:46.246340,oxidem4a4,#loltyler1,SPEECHLES OMEGALUL
108,2022-05-22T15:41:46.408409,th3_moaui,#loltyler1,!opgg
109,2022-05-22T15:41:46.408546,propaneaccessories69,#loltyler1,show them and run it
110,2022-05-22T15:41:46.571236,crushotm,#loltyler1,poppy 1v9
111,2022-05-22T15:41:46.571740,fossabot,#loltyler1,@Th3_Moaui https://www.op.gg/summoners/kr/BIG%20TONKA%20T
112,2022-05-22T15:41:46.733751,saintedslayer,#loltyler1,poggy
113,2022-05-22T15:41:47.100170,howlnsensitiv,#loltyler1,POGGERS
114,2022-05-22T15:41:47.425045,lozillo_ds,#loltyler1,scaling
115,2022-05-22T15:41:47.586825,yeeunclc,#loltyler1,pepeLaugh THOSE WHO KNOW
116,2022-05-22T15:41:47.750577,andrulocon,#loltyler1,Tanks KEKW
117,2022-05-22T15:41:47.913667,nauqeas,#loltyler1,NA Poppy maybe? Pog
118,2022-05-22T15:41:47.914234,sweenaha,#loltyler1,PTA GAP Pog
119,2022-05-22T15:41:48.566768,nocturnewarrior13,#loltyler1,crazy mechanics
120,2022-05-22T15:41:48.566894,tacobellquesadillayum,#loltyler1,NA > KR
121,2022-05-22T15:41:49.051900,zymir777,#loltyler1,COSMETIC DRAVEN OMEGALUL
122,2022-05-22T15:41:49.577051,ikarinya345,#loltyler1,EUW > NA > KR
123,2022-05-22T15:41:50.065073,lectricwizard,#loltyler1,PTA Poppy!
124,2022-05-22T15:41:50.389089,seemsfamiliar,#loltyler1,why is tyler so upset chatters
125,2022-05-22T15:41:50.551408,subtlediplomat,#loltyler1,t OMEGALUL xi cuz bad
126,2022-05-22T15:41:50.874865,wooswo,#loltyler1,LEONA IS FORCING FIGHTS LIKE A DUMBASS
127,2022-05-22T15:41:51.036834,metotoro,#loltyler1,POPPY 1V9 Pog
128,2022-05-22T15:41:51.199744,pomprocks,#loltyler1,AYAYA aya!
129,2022-05-22T15:41:51.524405,xenuxable,#loltyler1,kr server literaly all mechanics no brain
130,2022-05-22T15:41:52.011551,trustynoodle,#loltyler1,poppy popping off Pog
131,2022-05-22T15:41:52.335298,ruz0,#loltyler1,why his gme is on chineese
132,2022-05-22T15:41:52.497543,biggerwhenpulled,#loltyler1,PTA Pog
133,2022-05-22T15:41:52.659376,pxzdaichi,#loltyler1,PauseChamp maybe
134,2022-05-22T15:41:53.034381,ifaurier,#loltyler1,Pog
135,2022-05-22T15:41:53.196581,papayasmithy,#loltyler1,PTA poopy 👍
136,2022-05-22T15:41:53.196995,readthisandihitdab,#loltyler1,just let poppy carry you BIG T
137,2022-05-22T15:41:53.438063,strangephysic,#loltyler1,Gigachad BOP
138,2022-05-22T15:41:53.600021,pelanca,#loltyler1,Gigachad
139,2022-05-22T15:41:53.600381,learning2read,#loltyler1,useless pussy AD KEKW
140,2022-05-22T15:41:53.762009,nisici,#loltyler1,EVERY GAME LULW
141,2022-05-22T15:41:53.923854,mrsmith91,#loltyler1,you are dogshit
142,2022-05-22T15:41:53.923975,lindare1999,#loltyler1,ok but poppy is randomly popping off
143,2022-05-22T15:41:55.284922,gogoisafk,#loltyler1,"""u don't need mana on draven u idiot"" draven1"
144,2022-05-22T15:41:55.446855,chinchillersz,#loltyler1,GUYYSSS IM GONA POOOOT PotFriend
145,2022-05-22T15:41:55.446991,theda13,#loltyler1,come on man you can win
146,2022-05-22T15:41:55.447131,deli_keeper,#loltyler1,hey
