,datetime,username,channel,message
73,2022-05-22T13:20:13.987948,denkaaaaan,#gothamchess,its not d4
74,2022-05-22T13:20:18.747898,tsackman,#gothamchess,!tattoo
75,2022-05-22T13:20:18.748227,moobot,#gothamchess,"@tsackman If you gift 100 subs, Levy will write your username on his face/neck/arms for the rest of the stream. FOREHEAD is 200 subs. Example: https://bit.ly/3qN30Df"
76,2022-05-22T13:20:18.911255,chnm1,#gothamchess,d4 on diferent move
77,2022-05-22T13:20:19.624928,kaengurugamer,#gothamchess,d4not in the end
78,2022-05-22T13:20:23.127948,goatedlad19,#gothamchess,u won't get it until the 4th try i bet
79,2022-05-22T13:20:29.753383,thebarlyy,#gothamchess,it's not a london
80,2022-05-22T13:20:31.326738,dabestatchess,#gothamchess,D4 D5 E4?
81,2022-05-22T13:20:34.061882,dragonfishlive,#gothamchess,d4
82,2022-05-22T13:20:35.078662,thebarlyy,#gothamchess,it can't be a london
83,2022-05-22T13:20:35.863700,dragonfishlive,#gothamchess,d5
84,2022-05-22T13:20:37.172989,lessthanideal99,#gothamchess,just burn a bunch of moves
85,2022-05-22T13:20:37.663789,acky9413,#gothamchess,what is the point of this game?
86,2022-05-22T13:20:41.976388,tsackman,#gothamchess,D4 D5 C4 C6 C5
87,2022-05-22T13:20:46.183467,nathan_johndeere,#gothamchess,Qb6 after c5?
88,2022-05-22T13:20:49.522758,warble1267,#gothamchess,Qb6?
89,2022-05-22T13:20:50.507189,yorai26,#gothamchess,gothHp
90,2022-05-22T13:20:53.436503,ashmaniscool,#gothamchess,e3 opening?
91,2022-05-22T13:20:57.700939,beaver1224,#gothamchess,Play like an 800?
92,2022-05-22T13:21:00.441264,riccgava,#gothamchess,@tsackman are you colorblind?
93,2022-05-22T13:21:01.154638,domi_sikk,#gothamchess,"just finished programming for uni, im done @GothamChess"
94,2022-05-22T13:21:03.175678,archangelillium,#gothamchess,could c5 be a white move not black?
95,2022-05-22T13:21:03.726124,kommieking,#gothamchess,Nd7?
96,2022-05-22T13:21:04.873847,lightshad3z,#gothamchess,worst case you can just spend your second guess on scanning moves
97,2022-05-22T13:21:07.617676,tsackman,#gothamchess,@RiccGava yeah
98,2022-05-22T13:21:10.624292,dragonfishlive,#gothamchess,"im telling you, its d4, d5"
99,2022-05-22T13:21:13.657272,rengaw87,#gothamchess,i cant figure out what they played on move 3
100,2022-05-22T13:21:17.407237,thebarlyy,#gothamchess,couldn't it be like bg5 and then bf4
